Week1,
Formed the team and searched the topics which used in last term,
,
Week2,
Tuesday,Formed the team
Wednesday,"Read all the topics, discussed with the team members and finally decided the topic6."
Thursday,"Analyse the topic, find the sample."
Friday,Make a draft schedule and do a deep reasearch about the topics.
,
Week3,
Monday,"Had the meeting with all the team members, after discussing the topic6, all the members agree to change the topic to Topic 3 Double Robotics"
Tuesday,"Had tutorial, discussed the details and the function we want to implement about topic 3. Discussed with the tutor and roughly decided the prototype. Go through the sample proposal, seperate it to several part and assigned to team members."
Wednesday,Do some research and write the proposal.
Thursday,"Found the big issue of the project and had a digcussion
Have deep dicussion about all the other topics "
Friday,"Met with Lorenzo and another 2 teams which choose the topic 3. Discussed a lot and then all the members agreed that not into this topic, so planned to change topic again."
Sunday,Had meeting and discussed which topic to choose and each team member take charge part of report and need to finish before 11:59am on Monday.
,
Week4,
Monday,"Finished the proposal. Assigned the learning task to everyone.
Implement user.py, run.py, initdb.py. (create a small database)"
Tuesday,Discussed with one team member and designed the whole relational database
Wednesday,"Fix login function, add account database"
Thursday,Fix register function
Friday,"Add reset password function, works well"
,
Week5,
Tuesday,"Have a meeting and Tutorial, design the front end and assign the rest of the task."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
